what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1307925930972
arch,sysinfo,,,"x86",1307925930972
ws,sysinfo,,,"win32",1307925930972
locale,sysinfo,,,"bg_BG",1307925930972
processors,sysinfo,,,"2",1307925930972
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1307925930972
java.runtime.version,sysinfo,,,"1.6.0_10-rc-b28",1307925930972
java.specification.name,sysinfo,,,"Java Platform API Specification",1307925930972
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307925930972
java.specification.version,sysinfo,,,"1.6",1307925930972
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1307925930972
java.version,sysinfo,,,"1.6.0_10-rc",1307925930972
java.vm.info,sysinfo,,,"mixed mode",1307925930972
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1307925930972
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1307925930972
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307925930972
java.vm.specification.version,sysinfo,,,"1.0",1307925930972
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1307925930972
java.vm.version,sysinfo,,,"11.0-b15",1307925930972
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1307925931032
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1307925931112
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.jst.common.project.facet.core",1307925931124
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1307925931145
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1307925931175
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1307925931219
